ranking_posicao,musica,tag_musica,tag_trecho,ESTROFE,artista,ano,ntokens,url,Topic,Probability
1045,11 Vidas,musica1045,musica1045_trecho3,"Mas eu só quero lembrar Que de 10 vidas, onze eu te daria Que foi vendo você Que eu aprendi a lutar",Lucas Lucco,2014,22,https://www.letras.mus.br/lucas-lucco/11-vidas/,-1,0.1941595208751511
1045,11 Vidas,musica1045,musica1045_trecho4,"Mas eu só quero lembrar Antes que meu tempo acabe, pra você não se esquecer Que se Deus me desse uma chance de viver outra vez Eu só queria se tivesse você",Lucas Lucco,2014,32,https://www.letras.mus.br/lucas-lucco/11-vidas/,-1,0.3338588318790511
1045,11 Vidas,musica1045,musica1045_trecho5,"Pai, eu sei, o tempo é implacável Afasta os nossos corpos, mas aproxima o coração O seu nome é sempre lembrado Com um verso, eu falo de você sempre na oração",Lucas Lucco,2014,31,https://www.letras.mus.br/lucas-lucco/11-vidas/,-1,0.2671438756360842
1045,11 Vidas,musica1045,musica1045_trecho6,"Pai, foi muito chato crescer Passei a não ter você contando histórias pra eu dormir Mesmo o mundo querendo me derrubar Ao meu lado você sempre está Pra me levantar quando eu cair",Lucas Lucco,2014,33,https://www.letras.mus.br/lucas-lucco/11-vidas/,-1,0.05838925688593599
1045,11 Vidas,musica1045,musica1045_trecho7,"Mas eu só quero lembrar Que de 10 vidas, 11 eu te daria Que foi vendo você Que eu aprendi a lutar",Lucas Lucco,2014,22,https://www.letras.mus.br/lucas-lucco/11-vidas/,-1,0.19415952087515087
1045,11 Vidas,musica1045,musica1045_trecho8,"Mas eu só quero lembrar Antes que meu tempo acabe, pra você não se esquecer Que se Deus me desse uma chance de viver outra vez",Lucas Lucco,2014,26,https://www.letras.mus.br/lucas-lucco/11-vidas/,-1,0.3338588318790512
1459,126 Cabides,musica1459,musica1459_trecho1,"Contando, são 126 cabides E no guarda-roupa Um grande espaço seu deixado O que faço? Estou eu bem no meu canto Futuro levado meu, roubado",Simone & Simaria,2016,25,https://www.letras.mus.br/simone-simaria-as-coleguinhas/126-cabides/,-1,0.29015331043557935
1459,126 Cabides,musica1459,musica1459_trecho2,"Tô negociando com a solidão Tô tentando convencer Que ela não fique, não, se vá Tô eu negociando com a solidão Só me cobre esse juros No final da outra estação e se vá",Simone & Simaria,2016,34,https://www.letras.mus.br/simone-simaria-as-coleguinhas/126-cabides/,-1,0.12303427676827616
1459,126 Cabides,musica1459,musica1459_trecho4,"Tô eu negociando com a solidão Tô tentando convencer Que ela não fique, não, se vá Tô eu negociando com a solidão Só me cobre esse juros No final da outra estação e se vá",Simone & Simaria,2016,35,https://www.letras.mus.br/simone-simaria-as-coleguinhas/126-cabides/,-1,0.12303427676827638
1430,24 Horas,musica1430,musica1430_trecho3,"Todas são iguais, mas como você eu nunca vi Sabe me tirar da solidão Não dava nada Agora eu tô perdido e louco de paixão",Luan Santana,2012,25,https://www.letras.mus.br/luan-santana/24-horas/,-1,0.23524297029001962
1430,24 Horas,musica1430,musica1430_trecho4,"Queria tanto poder te falar Daquele tempo que não vai voltar É tentação, mais que paixão São 24 horas de você no coração",Luan Santana,2012,23,https://www.letras.mus.br/luan-santana/24-horas/,-1,0.03285853527627747
1262,24 Horas (Pensando Em Você),musica1262,musica1262_trecho2,"1, 2, 3 da manha, eu aqui pensando em você Fico rolando na cama, até ver o dia amanhecer No carro, no transito, indo pro trabalho No rádio começa a nossa canção Será que isso é obra do acaso Meu Deus, só pode ser provocação",Léo Magalhães,2010,45,https://www.letras.mus.br/leo-magalhaes/1722916/,-1,0.052506851428858026
1262,24 Horas (Pensando Em Você),musica1262,musica1262_trecho4,"3, 4, 5 da tarde encontro os amigos pra o happy hour Até nessa hora confesso, meu Deus, que bate a saudade Em casa, a noite, começa a novela Um beijo me faz pensar em você Então vou pra cama e começa de novo Mais um dia que eu vejo amanhecer",Léo Magalhães,2010,51,https://www.letras.mus.br/leo-magalhaes/1722916/,-1,0.052506851428857804
865,24 Horas de Amor/ Só Dá Você Na Minha Vida/ Pense Em Mim/ Talismã (pot-pourri),musica865,musica865_trecho1,Quando acordei pela manhã Senti um perfume que há muito Muito tempo não sentia Olhei depressa ao meu redor E apalpei o seu lugar Em nossa cama tão vazia,Ícaro e Gilmar,2020,29,https://www.letras.mus.br/icaro-e-gilmar/24-horas-de-amor-so-da-voce-na-minha-vida-pense-em-mim-talisma-pot-pourri/,-1,0.18781141449860206
865,24 Horas de Amor/ Só Dá Você Na Minha Vida/ Pense Em Mim/ Talismã (pot-pourri),musica865,musica865_trecho5,"Eu tentei, eu lutei, fiz o possível Mas viver sem você é impossível Eu tentei, eu busquei outra saída Mas o que fazer se só dá você na minha vida",Ícaro e Gilmar,2020,30,https://www.letras.mus.br/icaro-e-gilmar/24-horas-de-amor-so-da-voce-na-minha-vida-pense-em-mim-talisma-pot-pourri/,-1,0.29874391037594417
865,24 Horas de Amor/ Só Dá Você Na Minha Vida/ Pense Em Mim/ Talismã (pot-pourri),musica865,musica865_trecho14,"Vai, saudade diz pra ela Diz pra ela aparecer Vai, saudade, vê se troca A minha solidão por ela Pra valer o meu viver",Ícaro e Gilmar,2020,24,https://www.letras.mus.br/icaro-e-gilmar/24-horas-de-amor-so-da-voce-na-minha-vida-pense-em-mim-talisma-pot-pourri/,-1,0.27835964344596664
1517,3 de Maio,musica1517,musica1517_trecho1,"Se todo lugar que eu olho eu vejo seu rosto Se a brisa do oceano vem, me traz seu gosto Quando você chega perto, eu quase desmaio Vai ficar marcado, hoje, dia 3 de maio",Luan Santana,2012,35,https://www.letras.mus.br/luan-santana/3-de-maio/,-1,0.10450355611372508
1517,3 de Maio,musica1517,musica1517_trecho2,"Acordei bem cedo e decidi tentar a sorte Na minha vida, a timidez sempre falou mais forte O seu não eu já ganhei, se me esnobar eu saio Vai ficar marcado, hoje, dia 3 de maio",Luan Santana,2012,36,https://www.letras.mus.br/luan-santana/3-de-maio/,-1,0.05126869081182084
1517,3 de Maio,musica1517,musica1517_trecho4,Quando o amor bate na porta é só deixar ele entrar Na vida tem escolhas e o mais certo é não ter medo de errar O beijo tão gostoso que você me deu me fez esquecer da hora Eu viajei direto pra saturno e não voltei até agora,Luan Santana,2012,48,https://www.letras.mus.br/luan-santana/3-de-maio/,-1,0.10563629144844622
1187,360 O Arrocha do Poder,musica1187,musica1187_trecho2,"Cê vai ficar maluca e vai enlouquecer Se não souber me chama, arrocho com você Preste bem atenção, que já vai começar Não tem muito segredo e só você me acompanhar",Thiago Brava,2012,31,https://www.letras.mus.br/thiago-brava/360-o-arrocha-do-poder/,-1,0.06619607397359417
1145,365 Dias,musica1145,musica1145_trecho1,Ainda vou aonde a gente ia Pensando em te ver de novo Minha esperança ainda fantasia nosso reencontro,Thaeme e Thiago,2012,18,https://www.letras.mus.br/thaeme-thiago/1985791/,-1,0.07434967850653917
1145,365 Dias,musica1145,musica1145_trecho2,Desenhei teu rosto no teto do meu quarto Pra dormir sempre te olhando E ao fechar os olhos me vejo te amando Por isso que eu acordo sempre chorando,Thaeme e Thiago,2012,29,https://www.letras.mus.br/thaeme-thiago/1985791/,-1,0.2402893547666397
1145,365 Dias,musica1145,musica1145_trecho5,Ainda sei de cor seu telefone Sei decifrar os teus quinze sorrisos Conheço a palmo todo o seu corpo Que era o meu paraíso,Thaeme e Thiago,2012,24,https://www.letras.mus.br/thaeme-thiago/1985791/,-1,0.059374480342504365
1145,365 Dias,musica1145,musica1145_trecho6,"Comprei o mesmo perfume que o seu Passei na roupa que você deixou E durmo abraçado, inconformado Me perguntando aonde foi que a gente errou",Thaeme e Thiago,2012,25,https://www.letras.mus.br/thaeme-thiago/1985791/,-1,0.18781141449860217
979,4 e 15,musica979,musica979_trecho3,Só demorou um pouco pra me procurar Eu já sabia que o seu lance ia acabar O que começa errado nunca vai durar,Marília Mendonça,2015,23,https://www.letras.mus.br/marilia-mendonca/quatro-e-quinze/,-1,0.29755709771850214
311,5 KM,musica311,musica311_trecho2,"E pra chegar até você, eu já decorei São 5 km, 7 sinais, 20 esquinas, 2 hospitais 7 andares, são duas portas Tô no seu quarto, a hora é agora, a hora é agora",Henrique & Juliano,2017,34,https://www.letras.mus.br/henrique-e-juliano/5-km/,-1,0.04188496596760072
311,5 KM,musica311,musica311_trecho3,"Desliga esse abajur, que o show não precisa de luz Ação, romance ou suspense, a escolha é sua O filme é só pra arrumar desculpa O filme é só pra arrumar desculpa",Henrique & Juliano,2017,32,https://www.letras.mus.br/henrique-e-juliano/5-km/,-1,0.03184752558092685
311,5 KM,musica311,musica311_trecho4,"Desliga esse abajur, que o show não precisa de luz Ação, romance ou suspense, a escolha é sua O filme é só pra arrumar desculpa A gente pausa, volta e continua",Henrique & Juliano,2017,31,https://www.letras.mus.br/henrique-e-juliano/5-km/,-1,0.05517948127587313
35,50 Reais (part. Maiara & Maraisa),musica35,musica35_trecho2,Que lixo! Cê tá de brincadeira Então é aqui o seu futebol toda quarta-feira,Naiara Azevedo,2016,14,https://www.letras.mus.br/naiara-azevedo/50-reais/,-1,0.14462647688164365
35,50 Reais (part. Maiara & Maraisa),musica35,musica35_trecho4,E não precisa se vestir Eu já vi tudo que eu tinha que ver aqui Que decepção Um a zero pra minha intuição,Naiara Azevedo,2016,23,https://www.letras.mus.br/naiara-azevedo/50-reais/,-1,0.155124437678543
35,50 Reais (part. Maiara & Maraisa),musica35,musica35_trecho5,Não sei se dou na cara dela ou bato em você Mas eu não vim atrapalhar sua noite de prazer E pra ajudar pagar a dama que lhe satisfaz Toma aqui uns 50 reais,Naiara Azevedo,2016,34,https://www.letras.mus.br/naiara-azevedo/50-reais/,-1,0.12454953450741724
35,50 Reais (part. Maiara & Maraisa),musica35,musica35_trecho11,"Ai, ai, ai, ai Ai, ai, ai, ai E pra ajudar pagar a dama que lhe satisfaz Toma aqui uns 50 reais",Naiara Azevedo,2016,22,https://www.letras.mus.br/naiara-azevedo/50-reais/,-1,0.12454953450741713
162,60 Segundos,musica162,musica162_trecho4,"O tempo passa depressa quando estou com você As horas viram minutos, não consigo entender E o que eu mais quero é viver ao seu lado Cada segundo, amor",Gusttavo Lima,2011,29,https://www.letras.mus.br/gusttavo-lima/1966132/,-1,0.03285853527627769
162,60 Segundos,musica162,musica162_trecho6,Te fazer feliz por toda a vida,Gusttavo Lima,2011,7,https://www.letras.mus.br/gusttavo-lima/1966132/,-1,0.14602144784027715
604,A,musica604,musica604_trecho1,Tá em dúvida Não sabe se é normal gostar de dois Tá entre o que é e o que já foi Vou te ajudar a decidir agora,Luan Santana,2018,27,https://www.letras.mus.br/luan-santana/a/,-1,0.14605291679649057
604,A,musica604,musica604_trecho2,Vamo lá Suponha que eu sou A e ele é o B Que assim vai ser mais fácil de entender Vou começar agora com as perguntas,Luan Santana,2018,26,https://www.letras.mus.br/luan-santana/a/,-1,0.13693926630708297
604,A,musica604,musica604_trecho5,"Tá em dúvida (tá em dúvida) Não sabe se é normal gostar de dois (não é normal) Tá entre o que é e o que já foi (ele já foi) Vou te ajudar a decidir agora, oh",Luan Santana,2018,37,https://www.letras.mus.br/luan-santana/a/,-1,0.1460529167964908
604,A,musica604,musica604_trecho11,"Não tem mais dúvida Não tem mais dúvida Ele é o B, eu sou o A Com quem cê vai ficar?",Luan Santana,2018,21,https://www.letras.mus.br/luan-santana/a/,-1,0.13693926630708342
604,A,musica604,musica604_trecho12,"Não tem mais dúvida Não tenha dúvida Ele é o B, eu sou o A Com quem cê vai ficar?",Luan Santana,2018,20,https://www.letras.mus.br/luan-santana/a/,-1,0.1369392663070832
1183,A Bela e o Fera,musica1183,musica1183_trecho2,E pra faculdade não tá nem aí Ele tá formado em se divertir E ela só nos livros Cineminha e computador,Munhoz & Mariano,2011,21,https://www.letras.mus.br/munhoz-mariano/a-bela-e-a-fera/,-1,0.157813926523949
1183,A Bela e o Fera,musica1183,musica1183_trecho3,Quem diria Que a Bela e a Fera Formariam no final Um belo casal,Munhoz & Mariano,2011,14,https://www.letras.mus.br/munhoz-mariano/a-bela-e-a-fera/,-1,0.26713356113874276
