Parent_ID,Parent_Name,Topics,Child_Left_ID,Child_Left_Name,Child_Right_ID,Child_Right_Name,Distance
86,coração_tudo_beijo_hoje_amar,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43]",84,amo_coração_tudo_amar_tanto,85,beijo_deus_céu_hoje_sol,1.1904473880586768
85,beijo_deus_céu_hoje_sol,"[1, 2, 3, 5, 7, 8, 12, 14, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 30, 32, 34, 35, 36, 37, 38, 39, 41, 43]",82,deus_céu_sol_lua_anjo,83,beijo_boca_hoje_bar_cara,1.1207991352391258
84,amo_coração_tudo_amar_tanto,"[0, 4, 6, 9, 10, 11, 13, 15, 19, 20, 29, 31, 33, 40, 42]",76,volta_saber_perdeu_dar_tudo,71,amo_coração_amar_tudo_tempo,1.081660660529533
83,beijo_boca_hoje_bar_cara,"[1, 2, 7, 8, 12, 14, 16, 18, 21, 24, 26, 27, 28, 30, 34, 35, 36, 38, 43]",80,beijo_boca_roupa_corpo_faz,81,bar_carro_ex_jogo_fora,1.053763249059126
82,deus_céu_sol_lua_anjo,"[3, 5, 17, 22, 23, 25, 32, 37, 39, 41]",78,deus_anjo_coloca_santo_senhor,66,sol_lua_céu_chuva_estrelas,1.04543051045438
81,bar_carro_ex_jogo_fora,"[7, 12, 16, 18, 24, 26, 28, 30, 34, 35, 36, 43]",79,bar_ex_jogo_fora_traição,70,carro_celular_internet_mensagem_número,1.0287449269393254
80,beijo_boca_roupa_corpo_faz,"[1, 2, 8, 14, 21, 27, 38]",53,gavião_pinto_boi_bonito_beleza,67,beijo_boca_corpo_roupa_faz,1.0252744104800706
79,bar_ex_jogo_fora_traição,"[7, 16, 18, 24, 30, 35, 36, 43]",77,bar_ex_traição_solteiro_mulher,73,jogo_fora_cerveja_garrafa_copo,1.0013997240775077
78,deus_anjo_coloca_santo_senhor,"[5, 17, 23, 25, 39, 41]",17,doce_bomberman_lentamente_nhec_sarrando,75,deus_anjo_coloca_senhor_anjos,0.9838578154947246
77,bar_ex_traição_solteiro_mulher,"[16, 18, 24, 30, 36]",52,bar_casar_aceitar_família_ninguém,74,ex_traição_solteiro_mulher_acabou,0.9719000386634585
76,volta_saber_perdeu_dar_tudo,"[10, 11, 20, 29, 31, 33, 40]",68,volta_saber_verdade_ninguém_tudo,51,perdeu_dar_chance_primeiro gente_saber acontecer,0.9650061480798168
75,deus_anjo_coloca_senhor_anjos,"[5, 23, 25, 39, 41]",69,dançar_arrocha_festa_procurar_saiba,72,deus_anjo_coloca_senhor_anjos,0.9596960231922326
